City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
247,Khromtau,KZ,50.2503,58.4347,43.39,38,4,15.26,clear sky
248,Jizan,SA,17.3333,42.6667,81.54,61,2,2.51,clear sky
249,Henties Bay,NA,-22.116,14.2845,57.85,90,42,8.25,scattered clouds
250,Port Elizabeth,ZA,-33.918,25.5701,55.69,71,0,17.27,clear sky
251,Izumo,JP,35.3667,132.7667,66.15,52,75,5.75,broken clouds
252,Fort Nelson,CA,58.8053,-122.7002,29.79,93,40,5.75,scattered clouds
253,Cayenne,GF,4.9333,-52.3333,80.1,89,75,0.0,broken clouds
254,Vila,PT,42.0304,-8.1588,46.92,74,0,2.77,clear sky
255,Santa Isabel,BR,-23.3156,-46.2214,75.65,59,100,2.62,overcast clouds
256,Samana,DO,19.2056,-69.3369,76.53,87,97,5.48,overcast clouds
257,Shenjiamen,CN,29.9576,122.298,65.5,69,99,13.71,overcast clouds
258,Staraya Toropa,RU,56.2801,31.6702,34.59,90,100,10.96,overcast clouds
259,Dong Hoi,VN,17.4833,106.6,69.26,91,100,13.71,overcast clouds
260,Avigliana,IT,45.0771,7.3986,52.52,80,0,4.76,clear sky
261,Hualmay,PE,-11.0964,-77.6139,62.42,85,37,10.25,scattered clouds
262,Benguela,AO,-12.5763,13.4055,73.76,74,100,3.87,overcast clouds
263,Maldonado,UY,-34.6667,-54.9167,56.23,89,6,5.95,clear sky
264,Agoo,PH,16.0833,120.1,81.63,75,97,10.22,overcast clouds
265,Asau,RO,46.4333,26.4,41.76,68,86,1.99,overcast clouds
266,Tazmalt,DZ,36.3868,4.3989,60.37,88,79,3.94,broken clouds
267,Bull Savanna,JM,17.8868,-77.5902,76.53,87,59,8.12,broken clouds
268,La Ronge,CA,55.1001,-105.2842,39.45,70,75,18.41,broken clouds
269,Lyuban,BY,52.7985,28.0048,38.93,73,63,14.72,broken clouds
270,Peniche,PT,39.3558,-9.3811,63.63,93,1,7.34,clear sky
271,Bumbuna,SL,9.05,-11.7333,71.24,99,100,1.57,moderate rain
272,Poplar Bluff,US,36.757,-90.3929,63.99,94,75,3.44,mist
273,Saint George,US,37.1041,-113.5841,66.94,37,1,7.0,clear sky
274,Kaputa,ZM,-8.4689,29.6619,74.7,57,59,2.01,broken clouds
275,Mao,ES,39.8885,4.2658,59.56,88,0,6.91,clear sky
276,Surok,RU,56.4469,48.1214,36.18,95,17,6.4,few clouds
277,Gonaives,HT,19.45,-72.6833,77.7,79,82,3.29,broken clouds
278,Laguna,US,38.421,-121.4238,61.25,78,90,1.01,overcast clouds
279,Kashi,CN,39.4547,75.9797,49.21,25,0,4.47,clear sky
280,Pisco,PE,-13.7,-76.2167,61.02,82,37,1.14,scattered clouds
281,Muli,MV,2.9167,73.5667,82.6,75,96,13.58,overcast clouds
282,Muyezerskiy,RU,63.9333,31.65,14.56,97,69,3.85,broken clouds
283,Nemuro,JP,43.3236,145.575,57.63,65,9,15.59,clear sky
284,Hamirpur,IN,25.95,80.15,80.46,51,0,6.26,clear sky
285,Desterro,BR,-7.2906,-37.0939,72.7,82,57,10.11,broken clouds
286,Port Hedland,AU,-20.3167,118.5667,98.65,12,21,18.41,few clouds
287,Mana,GF,5.6592,-53.7767,77.67,89,92,9.95,overcast clouds
288,Adamas,GR,36.7333,24.4333,62.02,71,16,4.81,few clouds
289,Maumere,ID,-8.6199,122.2111,86.63,62,99,2.33,overcast clouds
290,Bozhou,CN,33.8772,115.7703,63.95,43,96,5.79,overcast clouds
291,Manzhouli,CN,49.6,117.4333,47.41,39,10,6.44,clear sky
292,Pontianak,ID,-0.0333,109.3333,89.58,62,20,3.44,few clouds
293,Galveston,US,29.3669,-94.9669,73.51,94,85,15.43,overcast clouds
294,Narsaq,GL,60.9167,-46.05,28.2,51,31,3.67,scattered clouds
295,Harper,LR,4.375,-7.7169,76.84,88,84,5.5,light rain
296,Airai,TL,-8.9266,125.4092,81.72,36,33,2.13,scattered clouds
