City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
499,Nikki,BJ,72.97,overcast clouds,9.9401,3.2108,Hotel John
504,Machiques,VE,75.94,broken clouds,10.0644,-72.545,hotel el markes
507,Nishihara,JP,78.85,scattered clouds,26.1842,127.7558,Minshuku Agaihama
509,Axim,GH,76.55,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
510,Mchinji,MW,71.83,scattered clouds,-13.7984,32.8802,Kayesa Inn
514,Morant Bay,JM,83.82,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
520,Ojinaga,MX,76.41,clear sky,29.5667,-104.4167,Suites Las Palmas
529,Barra Patuca,HN,79.32,overcast clouds,15.8,-84.2833,
530,Dhidhdhoo,MV,81.05,overcast clouds,6.8833,73.1,Dhidhoo beach
531,Noumea,NC,78.78,few clouds,-22.2763,166.4572,Hôtel Le Lagon
533,Sumenep,ID,89.13,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
534,Boffa,GN,74.5,light rain,10.1667,-14.0333,Hôtel Niara Belly
535,Guanica,PR,79.18,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
538,Umm Lajj,SA,76.12,clear sky,25.0213,37.2685,Moon light Furnished Units
540,Gizo,SB,85.69,few clouds,-8.103,156.8419,Imagination Island
541,Duncan,US,75.25,scattered clouds,34.5023,-97.9578,Days Inn by Wyndham Duncan
543,Lagunas,PE,77.25,few clouds,-5.2269,-75.6753,Hospedaje Eco
547,Saint-Joseph,RE,78.48,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
549,Saint-Pierre,RE,79.57,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
550,Grand Gaube,MU,78.39,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
556,Dawei,MM,86.04,overcast clouds,14.0833,98.2,Hotel Dawei
558,Umm Kaddadah,SD,79.7,broken clouds,13.6017,26.6876,
560,Thiruvananthapuram,IN,82.38,few clouds,8.4833,76.9167,Hotel Residency Tower
562,Quatre Cocos,MU,78.1,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
567,Ishigaki,JP,82.53,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
568,Yenagoa,NG,73.0,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
570,Gorom-Gorom,BF,83.55,overcast clouds,14.4439,-0.2361,
573,Samarai,PG,81.52,scattered clouds,-10.6167,150.6667,Nuli Sapi
574,Bambanglipuro,ID,86.43,scattered clouds,-7.95,110.2833,Puri Brata
575,Juba,SS,72.5,clear sky,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
577,Dibulla,CO,78.42,broken clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
581,Sulangan,PH,82.11,broken clouds,11.1373,123.7228,Maia's Beach Resort
586,Rantauprapat,ID,79.5,light rain,2.1,99.8333,Permata Land Hotel & Resort
592,Candelaria,PH,78.39,overcast clouds,13.9311,121.4233,Casa de Provincia
593,Kerrville,US,71.94,clear sky,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
598,Vila Velha,BR,73.35,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
599,Nosy Varika,MG,77.49,scattered clouds,-20.5833,48.5333,Hotel Volazara
607,Itaituba,BR,74.86,overcast clouds,-4.2761,-55.9836,Hotel Campos
608,Wanning,CN,77.23,overcast clouds,18.8003,110.3967,Paradise Hotel
617,Sibolga,ID,80.28,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
621,Pundaguitan,PH,83.93,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
626,Ambon,ID,82.54,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
627,Bairiki,KI,87.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
628,Port Blair,IN,84.24,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
629,Lae,PG,85.44,broken clouds,-6.7221,146.9847,Phils Hotel
636,Teluk Nibung,ID,75.58,overcast clouds,3.001,99.8164,Hotel Assyifa
637,Puerto Vallarta,MX,83.91,overcast clouds,20.6204,-105.2307,Sheraton Buganvilias Resort & Convention Center
